	GEN16	district	party	femaleis1	19
315	1.0	PIN	DEM	0	5
316	1.0	CHA	REP	1	5
317	1.0	DUV	DEM	0	5
318	1.0	DAD	NPA	1	4
319	1.0	SAR	NPA	0	5
320	1.0	OSC	REP	1	5
321	1.0	PIN	REP	1	5
322	1.0	LEE	REP	0	5
323	1.0	PIN	NPA	0	9
324	1.0	BRE	REP	0	5
325	1.0	PAL	REP	0	5
326	1.0	PAL	DEM	0	4
327	1.0	BRE	NPA	1	5
328	1.0	MON	REP	1	5
329	1.0	DAD	NPA	1	5
330	1.0	POL	REP	1	5
331	0.0	PIN	REP	1	5
332	1.0	SEM	REP	1	3
333	1.0	LEE	DEM	0	5
334	1.0	LAK	DEM	1	3
335	1.0	ESC	REP	1	5
336	1.0	PAS	REP	1	5
337	1.0	BRO	REP	0	5
338	1.0	DUV	DEM	1	3
339	1.0	DAD	NPA	0	4
340	1.0	SEM	REP	1	5
341	1.0	BRO	NPA	1	4
342	1.0	BRO	NPA	0	4
343	1.0	LEE	NPA	0	4
344	0.0	STJ	NPA	1	5
345	1.0	DAD	DEM	1	4
346	1.0	PAL	REP	1	5
347	0.0	STJ	REP	0	5
348	1.0	VOL	DEM	1	5
349	1.0	BRE	REP	0	5
350	1.0	DAD	DEM	1	4
351	1.0	BRO	DEM	0	2
352	0.0	CHA	DEM	1	3
353	1.0	HIL	NPA	0	4
354	1.0	HIL	REP	1	5
355	1.0	LEE	REP	0	5
356	1.0	ALA	DEM	1	4
357	1.0	PIN	REP	0	4
358	1.0	PIN	REP	0	5
359	1.0	HIL	DEM	0	3
360	1.0	FLA	DEM	1	5
361	1.0	DAD	DEM	1	4
362	1.0	DAD	NPA	0	4
363	1.0	DAD	NPA	1	4
364	1.0	PAL	REP	1	5
365	0.0	MAN	NPA	1	5
366	1.0	LAK	DEM	1	3
367	0.0	HIL	NPA	1	4
368	1.0	BRE	REP	0	5
369	1.0	POL	REP	1	5
370	1.0	MAN	REP	1	5
371	1.0	ORA	NPA	0	3
372	1.0	BRO	DEM	1	3
373	1.0	BRE	REP	1	5
374	1.0	ORA	DEM	1	3
375	1.0	BRO	DEM	1	3
376	1.0	PAL	DEM	1	5
377	1.0	HIL	NPA	0	5
378	0.0	LEO	DEM	0	7
379	1.0	DUV	REP	0	5
380	0.0	STL	DEM	0	4
381	1.0	LEE	DEM	1	5
382	1.0	HIL	DEM	0	5
383	1.0	ORA	REP	1	5
384	1.0	DUV	NPA	0	5
385	0.0	DAD	DEM	1	4
386	1.0	DAD	REP	0	5
387	1.0	SAR	REP	0	5
388	1.0	LEE	REP	0	5
389	1.0	PAL	REP	0	5
390	1.0	LEE	DEM	0	5
391	1.0	SAR	NPA	1	5
392	1.0	MAN	REP	0	5
393	1.0	DES	REP	1	5
394	1.0	DAD	NPA	1	4
395	1.0	POL	REP	1	5
396	0.0	DUV	NPA	0	3
397	1.0	FLA	REP	1	5
398	1.0	BRO	NPA	1	5
399	1.0	ORA	DEM	1	3
400	0.0	DUV	DEM	0	3
401	1.0	HER	REP	0	5
402	1.0	NAS	REP	1	5
403	1.0	LEO	DEM	1	3
404	1.0	PAL	NPA	1	5
405	1.0	SAN	REP	1	5
406	1.0	SUM	DEM	1	5
407	1.0	PUT	NPA	0	5
408	1.0	POL	REP	1	5
409	1.0	SAR	REP	1	5
410	0.0	HIL	NPA	0	5
411	0.0	MRN	NPA	1	5
412	1.0	DUV	NPA	1	5
413	1.0	BRO	DEM	1	3
414	1.0	PIN	REP	1	5
415	1.0	HER	DEM	0	5
416	1.0	PAS	REP	1	5
417	1.0	POL	REP	0	5
418	1.0	HIL	DEM	0	3
419	1.0	NAS	REP	0	5
420	1.0	OSC	NPA	1	5
421	1.0	VOL	DEM	0	5
422	1.0	PIN	NPA	0	5
423	1.0	CLM	NPA	1	4
424	1.0	LAK	DEM	1	4
425	1.0	LAK	REP	1	5
426	1.0	DAD	NPA	1	4
427	1.0	MRN	DEM	1	3
428	1.0	BRE	REP	1	5
429	1.0	PIN	DEM	0	5
430	1.0	MRN	REP	1	5
431	1.0	IND	REP	0	5
432	1.0	SEM	DEM	1	5
433	1.0	BRO	DEM	1	3
434	1.0	DES	DEM	1	5
435	1.0	MRT	REP	0	5
436	1.0	CLL	DEM	0	5
437	0.0	BRO	DEM	1	5
438	1.0	PAL	REP	1	4
439	1.0	BRO	DEM	1	5
440	1.0	POL	REP	0	5
441	1.0	HIL	DEM	1	3
442	1.0	CIT	NPA	1	5
443	1.0	POL	NPA	0	5
444	1.0	PAL	DEM	0	3
445	0.0	DAD	NPA	0	9
446	1.0	DAD	DEM	0	3
447	1.0	STJ	NPA	1	5
448	1.0	BRO	DEM	1	3
449	1.0	CLM	DEM	1	3
450	1.0	FLA	REP	0	5
451	1.0	BRE	NPA	0	5
452	1.0	HIL	REP	0	3
453	1.0	CHA	DEM	0	5
454	1.0	DUV	REP	1	5
455	1.0	LEO	NPA	1	5
456	1.0	STJ	REP	0	5
457	1.0	PAL	NPA	1	5
458	1.0	UNI	REP	1	5
459	1.0	PAS	REP	0	5
460	1.0	LEE	DEM	1	5
461	1.0	LAK	REP	1	5
462	1.0	OKA	REP	0	5
463	1.0	HIL	REP	0	5
464	1.0	SEM	REP	0	5
465	1.0	MAN	NPA	0	5
466	0.0	HER	NPA	1	5
467	1.0	PAL	REP	1	5
468	1.0	HIL	DEM	0	4
469	0.0	DUV	NPA	1	5
470	1.0	PAS	DEM	0	5
471	1.0	VOL	DEM	1	5
472	1.0	PAL	NPA	1	5
473	1.0	DAD	REP	0	5
474	0.0	IND	REP	0	5
475	1.0	CIT	REP	1	5
476	1.0	PIN	DEM	1	5
477	1.0	STJ	DEM	1	5
478	1.0	CHA	REP	1	5
479	0.0	ESC	INT	1	5
480	1.0	DAD	REP	0	4
481	1.0	ORA	NPA	1	4
482	0.0	ORA	DEM	0	4
483	1.0	ORA	DEM	0	5
484	0.0	BRO	REP	0	4
485	0.0	DAD	NPA	0	4
486	1.0	PAS	DEM	1	5
487	1.0	DAD	DEM	0	3
488	1.0	STJ	REP	0	5
489	0.0	HIL	NPA	0	5
490	1.0	ESC	DEM	1	5
491	1.0	HIL	DEM	0	5
492	1.0	VOL	INT	0	5
493	1.0	BRE	REP	0	5
494	1.0	HIL	DEM	1	3
495	0.0	PAL	REP	0	4
496	1.0	BRO	NPA	0	5
497	1.0	ORA	REP	0	3
498	1.0	LEE	DEM	1	5
499	1.0	DAD	DEM	1	4
500	0.0	HER	NPA	1	5
501	1.0	DUV	REP	0	5
502	1.0	SEM	NPA	1	4
503	1.0	ORA	NPA	1	5
504	1.0	OSC	DEM	0	4
505	1.0	CLA	REP	1	5
506	1.0	DUV	DEM	1	3
507	1.0	SAR	NPA	0	5
508	0.0	PAS	REP	0	5
509	1.0	PAL	DEM	0	5
510	1.0	ESC	REP	1	5
511	1.0	STL	REP	1	5
512	1.0	PIN	INT	1	5
513	1.0	DAD	REP	1	4
514	0.0	PAL	DEM	0	4
515	0.0	MON	DEM	0	5
516	1.0	ORA	DEM	1	4
517	1.0	PIN	NPA	0	5
518	1.0	SEM	REP	1	5
519	1.0	LEE	REP	1	5
520	1.0	BRO	NPA	1	4
521	1.0	BRO	NPA	1	4
522	1.0	ORA	REP	0	5
523	1.0	PIN	NPA	1	5
524	1.0	PIN	DEM	0	4
525	0.0	PAL	NPA	0	3
526	1.0	SAN	NPA	1	5
527	1.0	CIT	REP	0	5
528	0.0	VOL	NPA	0	3
529	1.0	ORA	NPA	0	5
530	1.0	TAY	REP	1	5
531	1.0	POL	NPA	1	5
532	1.0	PAS	DEM	1	5
533	0.0	VOL	NPA	0	5
534	1.0	DAD	DEM	1	5
535	0.0	PAL	REP	1	5
536	1.0	DAD	REP	1	4
537	1.0	DUV	DEM	0	3
538	1.0	DAD	REP	0	4
539	1.0	DAD	NPA	0	9
540	1.0	ESC	DEM	1	3
541	1.0	BRO	REP	1	5
542	1.0	DAD	REP	0	4
543	1.0	BAK	DEM	1	5
544	1.0	MRN	DEM	1	3
545	1.0	DUV	DEM	0	5
546	1.0	DUV	REP	1	5
547	1.0	CLL	REP	0	5
548	1.0	LEE	DEM	1	4
549	1.0	PIN	REP	0	5
550	1.0	SEM	DEM	1	5
551	1.0	BAY	DEM	1	3
552	1.0	BRO	NPA	0	4
553	1.0	DAD	REP	0	4
554	0.0	BRO	DEM	0	3
555	1.0	OSC	DEM	1	4
556	0.0	BRO	NPA	1	3
557	1.0	PIN	DEM	1	5
558	1.0	LAK	DEM	1	5
559	1.0	DAD	REP	0	5
560	1.0	PAL	DEM	0	5
561	1.0	DAD	NPA	1	3
562	1.0	ORA	REP	1	5
563	1.0	BRO	DEM	1	3
564	1.0	ORA	DEM	1	3
565	1.0	HIL	REP	1	5
566	1.0	DAD	DEM	1	5
567	1.0	ORA	DEM	1	2
568	1.0	ORA	REP	1	5
569	1.0	BRE	REP	0	5
570	1.0	DAD	REP	0	4
571	1.0	PAL	DEM	0	3
572	1.0	IND	REP	1	5
573	1.0	ESC	DEM	1	5
574	1.0	MRT	NPA	0	5
575	1.0	PAL	NPA	0	5
576	1.0	STL	REP	1	5
577	1.0	POL	NPA	0	4
578	1.0	BAY	NPA	1	5
579	1.0	PAL	NPA	0	3
580	0.0	BRO	REP	1	5
581	0.0	DUV	NPA	1	3
582	1.0	CLL	REP	1	5
583	1.0	ORA	NPA	0	5
584	1.0	MAN	REP	1	5
585	1.0	ESC	REP	1	5
586	1.0	VOL	REP	1	5
587	1.0	WAL	NPA	1	5
588	1.0	BRO	REP	0	5
589	1.0	LEE	REP	0	5
590	1.0	DUV	DEM	1	5
591	1.0	CLM	DEM	0	5
592	1.0	HER	IDP	1	5
593	1.0	HER	REP	1	5
594	1.0	ORA	DEM	1	3
595	1.0	DAD	DEM	1	4
596	1.0	HIL	REP	0	5
597	0.0	PAL	NPA	0	3
598	0.0	HIL	NPA	1	5
599	1.0	VOL	DEM	1	5
600	0.0	HIL	DEM	0	4
601	0.0	HAR	DEM	0	3
602	1.0	DAD	REP	0	4
603	1.0	IND	DEM	1	5
604	1.0	IND	DEM	1	5
605	1.0	ORA	DEM	0	5
606	1.0	ESC	DEM	0	3
607	1.0	CHA	REP	1	5
608	1.0	BRE	REP	0	5
609	1.0	SAN	INT	0	5
610	1.0	BAY	REP	1	5
611	0.0	PIN	DEM	0	2
612	1.0	BRO	DEM	1	5
613	1.0	PIN	REP	0	5
614	1.0	BRO	REP	1	5
615	1.0	BRE	REP	1	5
616	1.0	PAS	REP	1	5
617	0.0	DUV	DEM	0	3
618	1.0	PAL	DEM	1	5
619	0.0	MRT	DEM	1	5
620	1.0	HIL	REP	1	5
621	1.0	BAY	REP	1	5
622	1.0	PIN	REP	0	5
623	1.0	DAD	DEM	0	3
624	1.0	HIL	NPA	1	5
625	1.0	DAD	REP	1	4
626	1.0	LEO	REP	1	5
627	1.0	BRO	DEM	0	4
628	1.0	HER	REP	0	5
629	1.0	DAD	NPA	1	4
630	1.0	CLL	NPA	1	5
631	1.0	POL	DEM	1	5
632	0.0	PAL	REP	1	5
633	1.0	PAL	REP	0	5
634	1.0	OSC	DEM	1	4
635	1.0	HIL	NPA	0	4
636	1.0	LEE	LPF	1	4
637	1.0	PAL	NPA	1	5
638	1.0	FLA	REP	1	5
639	1.0	POL	DEM	0	5
640	1.0	HIG	REP	0	5
641	0.0	BRO	NPA	0	4
642	1.0	VOL	REP	0	5
643	1.0	STL	REP	0	5
644	0.0	ORA	NPA	1	5
645	1.0	LIB	DEM	0	3
